study,dataset,version,distribution
soep-pretest,pre_2005_youth,v1,v1
soep-pretest,pre_2005_1,v1,v1
soep-pretest,pre_2005_2,v1,v1
soep-pretest,pre_2006,v1,v1
soep-pretest,pre_2007_muki_a,v1,v1
soep-pretest,pre_2007_1,v1,v1
soep-pretest,pre_2007_2,v1,v1
soep-pretest,pre_2008,v1,v1
soep-pretest,pre_2008_muki_b,v1,v1
soep-pretest,pre_2008_muki_c,v1,v1
soep-pretest,pre_2009,v1,v1
soep-pretest,pre_2010,v1,v1
soep-pretest,pre_2011,v1,v1
