study,name,label,label_de,description,description_de
soep-pretest,zp1802 ,,,,
soep-pretest,zp1801 ,,,,
soep-pretest,ypnat,,,,
soep-pretest,sex,,,,
soep-pretest,pzus07,,,,
soep-pretest,pzus061,,,,
soep-pretest,pzus06,,,,
soep-pretest,pzus051,,,,
soep-pretest,pzus05,,,,
soep-pretest,pzus041,,,,
soep-pretest,pzus04,,,,
soep-pretest,pzus031,,,,
soep-pretest,pzus03,,,,
soep-pretest,pzus021,,,,
soep-pretest,pzus02,,,,
soep-pretest,pzus011,,,,
soep-pretest,pzus01,,,,
soep-pretest,pzule2,,,,
soep-pretest,pzule1,,,,
soep-pretest,pzuf15,,,,
soep-pretest,pzuf12,,,,
soep-pretest,pzuf11,,,,
soep-pretest,pzuf10,,,,
soep-pretest,pzuf09,,,,
soep-pretest,pzuf07,,,,
soep-pretest,pzuf06,,,,
soep-pretest,pzuf05,,,,
soep-pretest,pzuf04,,,,
soep-pretest,pzuf03,,,,
soep-pretest,pzuf02,,,,
soep-pretest,pzuf01,,,,
soep-pretest,pzahl,,,,
soep-pretest,pzaf,,,,
soep-pretest,pwort,,,,
soep-pretest,pwohn5,,,,
soep-pretest,pwohn4,,,,
soep-pretest,pwohn3,,,,
soep-pretest,pwohn2 ,,,,
soep-pretest,pwohn2,,,,
soep-pretest,pwohn1,,,,
soep-pretest,pwexl4 ,,,,
soep-pretest,pwexl4,,,,
soep-pretest,pwexl3 ,,,,
soep-pretest,pwexl3,,,,
soep-pretest,pwexl2,,,,
soep-pretest,pwexl1 ,,,,
soep-pretest,pwexl1,,,,
soep-pretest,pwerk8,,,,
soep-pretest,pwerk7,,,,
soep-pretest,pwerk6,,,,
soep-pretest,pwerk5,,,,
soep-pretest,pwerk4,,,,
soep-pretest,pwerk3,,,,
soep-pretest,pwerk2,,,,
soep-pretest,pwerk1,,,,
soep-pretest,pweg9,,,,
soep-pretest,pweg8,,,,
soep-pretest,pweg7,,,,
soep-pretest,pweg6,,,,
soep-pretest,pweg56,,,,
soep-pretest,pweg55,,,,
soep-pretest,pweg54,,,,
soep-pretest,pweg53,,,,
soep-pretest,pweg52,,,,
soep-pretest,pweg51,,,,
soep-pretest,pweg46,,,,
soep-pretest,pweg45,,,,
soep-pretest,pweg44,,,,
soep-pretest,pweg43,,,,
soep-pretest,pweg42,,,,
soep-pretest,pweg41,,,,
soep-pretest,pweg36,,,,
soep-pretest,pweg35,,,,
soep-pretest,pweg34,,,,
soep-pretest,pweg33,,,,
soep-pretest,pweg32,,,,
soep-pretest,pweg31,,,,
soep-pretest,pweg26,,,,
soep-pretest,pweg25,,,,
soep-pretest,pweg24,,,,
soep-pretest,pweg23,,,,
soep-pretest,pweg22,,,,
soep-pretest,pweg21,,,,
soep-pretest,pweg16,,,,
soep-pretest,pweg15,,,,
soep-pretest,pweg14,,,,
soep-pretest,pweg13,,,,
soep-pretest,pweg12,,,,
soep-pretest,pweg11,,,,
soep-pretest,pverm4 ,,,,
soep-pretest,pverm3 ,,,,
soep-pretest,pverl,,,,
soep-pretest,pvergl9 ,,,,
soep-pretest,pvergl9,,,,
soep-pretest,pvergl8,,,,
soep-pretest,pvergl7,,,,
soep-pretest,pvergl6,,,,
soep-pretest,pvergl5,,,,
soep-pretest,pvergl4,,,,
soep-pretest,pvergl3,,,,
soep-pretest,pvergl2,,,,
soep-pretest,pvergl1,,,,
soep-pretest,pvekno,,,,
soep-pretest,pvek172,,,,
soep-pretest,pvek171,,,,
soep-pretest,pvek17,,,,
soep-pretest,pvek162,,,,
soep-pretest,pvek161,,,,
soep-pretest,pvek16,,,,
soep-pretest,pvek132,,,,
soep-pretest,pvek131,,,,
soep-pretest,pvek13,,,,
soep-pretest,pvek122,,,,
soep-pretest,pvek121,,,,
soep-pretest,pvek12,,,,
soep-pretest,pvek112,,,,
soep-pretest,pvek111,,,,
soep-pretest,pvek11,,,,
soep-pretest,pvek102,,,,
soep-pretest,pvek101,,,,
soep-pretest,pvek10,,,,
soep-pretest,pvek092,,,,
soep-pretest,pvek091,,,,
soep-pretest,pvek09,,,,
soep-pretest,pvek082,,,,
soep-pretest,pvek081,,,,
soep-pretest,pvek08,,,,
soep-pretest,pvek072,,,,
soep-pretest,pvek071,,,,
soep-pretest,pvek07,,,,
soep-pretest,pvek062,,,,
soep-pretest,pvek061,,,,
soep-pretest,pvek06,,,,
soep-pretest,pvek052,,,,
soep-pretest,pvek051,,,,
soep-pretest,pvek05,,,,
soep-pretest,pvek042,,,,
soep-pretest,pvek041,,,,
soep-pretest,pvek04,,,,
soep-pretest,pvek032,,,,
soep-pretest,pvek031,,,,
soep-pretest,pvek03,,,,
soep-pretest,pvek023,,,,
soep-pretest,pvek022,,,,
soep-pretest,pvek021,,,,
